locID,mapID,locRegion,locName,mapCheckID,event,itemID,itemName,quantity,progression,nice,party,crew,item,script,skill,landmark,entrance,exit
0001,mp0401,Pirate Ship Eleftheria,Submerged Hold,TBOX01,0,520,Sweet Remedy,1,0,0,0,0,1,--------,0,0,0,0
0002,mp0401,Pirate Ship Eleftheria,Submerged Hold,TBOX02,0,521,Bitter Remedy,1,0,0,0,0,1,--------,0,0,0,0
0003,mp0401,Pirate Ship Eleftheria,Submerged Hold,TBOX03,0,522,Hermit's Elixir,1,0,0,0,0,1,--------,0,0,0,0
0004,mp0401,Pirate Ship Eleftheria,Submerged Hold,TBOX04,0,538,Dragon Tree Treasure,1,0,0,0,0,1,--------,0,0,0,0
0005,mp0402,Pirate Ship Eleftheria,Hold,TBOX01,0,289,Bandit Gauntlets,1,0,0,0,0,1,--------,0,0,0,0
0006,mp0402,Pirate Ship Eleftheria,Hold,TBOX02,0,784,Queen Tomato Seeds,1,0,0,0,0,1,--------,0,0,0,0
0007,mp0402,Pirate Ship Eleftheria,Hold,TBOX03,0,327,Tektite Ore,2,0,0,0,0,1,--------,0,0,0,0
0008,mp0402,Pirate Ship Eleftheria,Hold,TBOX04,0,443,Rigid Fiber,2,0,0,0,0,1,--------,0,0,0,0
0009,mp0403,Pirate Ship Eleftheria,Accessway,TBOX01,0,772,Logbook 3,1,0,0,0,0,1,mp0403:EV_M05S151_ED,0,0,0,0
0010,mp0403,Pirate Ship Eleftheria,Accessway,TBOX02,0,327,Tektite Ore,2,0,0,0,0,1,--------,0,0,0,0
0011,mp0403,Pirate Ship Eleftheria,Accessway,TBOX03,0,308,Ancient Hide,1,0,0,0,0,1,--------,0,0,0,0
0012,mp0403,Pirate Ship Eleftheria,Accessway,TBOX04,0,576,Recipe Book/Pirate's Platter,1,1,0,0,0,1,--------,0,0,0,0
0013,mp0404,Pirate Ship Eleftheria,Crew Quarters,TBOX01,0,771,Logbook 2,1,0,0,0,0,1,mp0404:EV_M05S150_ED,0,0,0,0
0014,mp0404,Pirate Ship Eleftheria,Crew Quarters,TBOX02,0,303,Ancient Bone,1,0,0,0,0,1,--------,0,0,0,0
0015,mp0404,Pirate Ship Eleftheria,Crew Quarters,TBOX03,0,536,Ripe Coconut,2,0,0,0,0,1,--------,0,0,0,0
0016,mp0404,Pirate Ship Eleftheria,Crew Quarters,TBOX04,0,327,Tektite Ore,2,0,0,0,0,1,--------,0,0,0,0
0017,mp0404,Pirate Ship Eleftheria,Crew Quarters,TBOX05,0,614,King Pumpkin,2,0,0,0,0,1,--------,0,0,0,0
0018,mp0405,Pirate Ship Eleftheria,Deck,TBOX01,0,774,Logbook 5,1,0,0,0,0,1,mp0405:EV_M05S170_ED,0,0,0,0
